109DCM_614_614_10	gi|571031300|ref|YP_008992197.1|	23.75	480	298	18	391	823	29	487	6e-23	 102
109DCM_614_614_10	gi|30387275|ref|NP_848354.1|	24.12	481	295	19	391	823	29	487	9e-23	 102
109DCM_614_614_10	gi|9629985|ref|NP_046203.1|	24.78	452	278	18	409	818	52	483	5e-22	99.8
109DCM_614_614_10	gi|15320696|ref|NP_203208.1|	24.12	452	252	18	390	782	30	449	1e-20	95.5
109DCM_614_614_10	gi|9627784|ref|NP_054071.1|	22.70	445	270	13	409	802	53	474	6e-19	90.1
109DCM_614_614_10	gi|23577840|ref|NP_703032.1|	23.18	453	257	17	409	802	53	473	5e-18	87.4
109DCM_614_614_10	gi|9630851|ref|NP_047448.1|	22.99	448	265	15	409	802	53	474	4e-17	84.3
109DCM_614_614_10	gi|37651342|ref|NP_932651.1|	23.06	386	238	13	437	782	81	447	2e-12	69.7
109DCM_614_614_10	gi|531035674|ref|YP_008437307.1|	32.00	125	83	2	686	809	1053	1176	8e-06	48.9
109DCM_751_751_12	gi|49237335|ref|YP_031616.1|	52.09	574	255	6	19	589	9	565	0.0	 596
