Organism/Name,origin,order,family,subfamily,genus
Acholeplasma virus L2,RefSeq-v99,,Plasmaviridae,,Plasmavirus
Acholeplasma virus MV-L51,RefSeq-v99,Tubulavirales,Inoviridae,,Plectrovirus
Achromobacter phage 83-24,RefSeq-v99,Caudovirales,Siphoviridae,,Jwxvirus
Achromobacter phage JWAlpha,RefSeq-v99,Caudovirales,Podoviridae,,Jwalphavirus
Achromobacter phage JWF,RefSeq-v99,Caudovirales,Siphoviridae,,
Achromobacter phage JWX,RefSeq-v99,Caudovirales,Siphoviridae,,Jwxvirus
Achromobacter phage phiAxp-1,RefSeq-v99,Caudovirales,Siphoviridae,,
Achromobacter phage phiAxp-2,RefSeq-v99,Caudovirales,Siphoviridae,,
Achromobacter phage phiAxp-3,RefSeq-v99,Caudovirales,Podoviridae,,Jwalphavirus
Acidianus bottle-shaped virus,RefSeq-v99,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 2,RefSeq-v99,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 3,RefSeq-v99,,Ampullaviridae,,Ampullavirus
Acidianus filamentous virus 1,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Gammalipothrixvirus
Acidianus filamentous virus 2,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Deltalipothrixvirus
Acidianus filamentous virus 3,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 6,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 7,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 8,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 9,RefSeq-v99,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus rod-shaped virus 1,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus rod-shaped virus 2,RefSeq-v99,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus spindle-shaped virus 1,RefSeq-v99,,Fuselloviridae,,Betafusellovirus
Acidianus tailed spindle virus,RefSeq-v99,,Bicaudaviridae,,
Acidianus two-tailed virus,RefSeq-v99,,Bicaudaviridae,,Bicaudavirus
Acidovorax phage ACP17,RefSeq-v99,Caudovirales,Myoviridae,,Busanvirus
Acinetobacter phage AB1,RefSeq-v99,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage AB3,RefSeq-v99,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage AM101,RefSeq-v99,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage AP205,RefSeq-v99,Levivirales,Leviviridae,,
Acinetobacter phage AP22,RefSeq-v99,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage AbKT21phiIII,RefSeq-v99,Caudovirales,Autographiviridae,Beijerinckvirinae,Friunavirus
Acinetobacter phage AbP2,RefSeq-v99,Caudovirales,Myoviridae,,Obolenskvirus
Acinetobacter phage AbTZA1,RefSeq-v99,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Abp1,RefSeq-v99,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage Ac42,RefSeq-v99,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Acj61,RefSeq-v99,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Acj9,RefSeq-v99,Caudovirales,Myoviridae,Tevenvirinae,
Acinetobacter phage Fri1,RefSeq-v99,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage IME-AB2,RefSeq-v99,Caudovirales,Myoviridae,,Ap22virus
Acinetobacter phage IME200,RefSeq-v99,Caudovirales,Podoviridae,Autographivirinae,Fri1virus
Acinetobacter phage IMEAB3,RefSeq-v99,Caudovirales,Siphoviridae,,Lokivirus
