Organism/Name,origin,order,family,subfamily,genus
Acidianus bottle-shaped virus,RefSeq-201,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 2,RefSeq-201,,Ampullaviridae,,Ampullavirus
Acidianus bottle-shaped virus 3,RefSeq-201,,Ampullaviridae,,Ampullavirus
Acidianus filamentous virus 1,RefSeq-201,Ligamenvirales,Lipothrixviridae,,Gammalipothrixvirus
Acidianus filamentous virus 2,RefSeq-201,Ligamenvirales,Lipothrixviridae,,Deltalipothrixvirus
Acidianus filamentous virus 3,RefSeq-201,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 6,RefSeq-201,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 7,RefSeq-201,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 8,RefSeq-201,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus filamentous virus 9,RefSeq-201,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus
Acidianus rod-shaped virus 1,RefSeq-201,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus rod-shaped virus 2,RefSeq-201,Ligamenvirales,Rudiviridae,,Rudivirus
Acidianus spindle-shaped virus 1,RefSeq-201,,Fuselloviridae,,Betafusellovirus
Acidianus tailed spindle virus,RefSeq-201,,Bicaudaviridae,,
Acidianus two-tailed virus,RefSeq-201,,Bicaudaviridae,,Bicaudavirus
Aeropyrum coil-shaped virus,RefSeq-201,,Spiraviridae,,Alphaspiravirus
Aeropyrum globular virus 1,RefSeq-201,,,,
Aeropyrum pernix bacilliform virus 1,RefSeq-201,,Clavaviridae,,Clavavirus
Aeropyrum pernix ovoid virus 1,RefSeq-201,,Guttaviridae,,Betaguttavirus
Aeropyrum pernix spindle-shaped virus 1,RefSeq-201,,,,
Archaeal BJ1 virus,RefSeq-201,Caudovirales,Siphoviridae,,
Haloarcula californiae icosahedral virus 1,RefSeq-201,Halopanivirales,Sphaerolipoviridae,,Alphasphaerolipovirus
Haloarcula hispanica icosahedral virus 2,RefSeq-201,Halopanivirales,Sphaerolipoviridae,,Alphasphaerolipovirus
Haloarcula hispanica pleomorphic virus 1,RefSeq-201,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Haloarcula hispanica pleomorphic virus 2,RefSeq-201,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Haloarcula hispanica pleomorphic virus 3,RefSeq-201,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Haloarcula hispanica pleomorphic virus 4,RefSeq-201,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Haloarcula hispanica virus PH1,RefSeq-201,Halopanivirales,Sphaerolipoviridae,,Alphasphaerolipovirus
Haloarcula hispanica virus SH1,RefSeq-201,Halopanivirales,Sphaerolipoviridae,,Alphasphaerolipovirus
Halobacterium phage phiH,RefSeq-201,Caudovirales,Myoviridae,,Myohalovirus
Halogeometricum pleomorphic virus 1,RefSeq-201,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum phage CGphi46,RefSeq-201,,,,
Halorubrum phage HF2,RefSeq-201,Caudovirales,Myoviridae,,
Halorubrum pleomorphic virus 1,RefSeq-201,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Halorubrum pleomorphic virus 10,RefSeq-201,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum pleomorphic virus 11,RefSeq-201,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum pleomorphic virus 12,RefSeq-201,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum pleomorphic virus 2,RefSeq-201,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Halorubrum pleomorphic virus 3,RefSeq-201,Haloruvirales,Pleolipoviridae,,Betapleolipovirus
Halorubrum pleomorphic virus 6,RefSeq-201,Haloruvirales,Pleolipoviridae,,Alphapleolipovirus
Halovirus HCTV-1,RefSeq-201,,,,
Halovirus HCTV-2,RefSeq-201,,,,
Halovirus HCTV-5,RefSeq-201,,,,
Halovirus HGTV-1,RefSeq-201,,,,
Halovirus HHTV-1,RefSeq-201,,,,
Halovirus HHTV-2,RefSeq-201,,,,
Halovirus HRTV-4,RefSeq-201,,,,
